id,query,metric,hits,sessions
146809816,настольная игра,pdp_view,1,1
139174420,подарки,pdp_view,1,1
145557915,лопата складная,pdp_view,1,1
137875725,блендеры погружные,pdp_view,1,1
138489548,макароны детские,pdp_view,4,3
136226603,робинс,pdp_view,15,12
141832255,levrana сыворотка,pdp_view,3,3
1681689,мифолог,pdp_view,1,1
147837928,коврик для йоги,pdp_view,2,2
145941118,usb type c otg,pdp_view,6,3
143048919,эрнест жозеф ренан,pdp_view,1,1
19453506,алфавит,pdp_view,4,4
144925422,белоснежка живопись на холсте,pdp_view,1,1
144003745,игрушечные овощи,pdp_view,1,1
136801951,шампунь ollin,pdp_view,2,2
34439925,черепашки нинзя,pdp_view,1,1
31877673,подарочный набор,pdp_view,11,7
144909546,подставка для книг,pdp_view,2,2
138295617,полотенце,pdp_view,1,1
34424629,заготовка деревянная,pdp_view,5,4
147523572,apple,pdp_view,1,1
141078666,мед с малиной,pdp_view,3,2
140835885,термос,pdp_view,2,2
147825584,украшения на елку,pdp_view,1,1
145195646,тетради,pdp_view,1,1
143748381,lemax,pdp_view,7,3
138414493,сладкая сказка печенье зимний вечер 400 г,pdp_view,1,1
138569967,канвасы postermarket,pdp_view,1,1
143864800,бутсы,pdp_view,4,3
147721618,наушники jabra,pdp_view,2,2
145067479,терка,pdp_view,4,3
5528284,apollo,pdp_view,5,5
137989201,туалетная бумага трехслойная,pdp_view,5,4
143016642,143016642,pdp_view,1,1
147199288,шоколад,pdp_view,14,5
143884002,мешки для мусора,pdp_view,7,6
141452392,playmobil super4,pdp_view,1,1
141001100,кисточка для рисования,pdp_view,3,1
143400050,suavinex,pdp_view,4,4
145201042,покрывало стеганое,pdp_view,1,1
140047273,азова учим звуки,pdp_view,3,3
142586781,кабачок,pdp_view,1,1
146721124,tiflani,pdp_view,3,1
147571803,постельное белье детское,pdp_view,1,1
140462448,одеяло евро,pdp_view,5,2
147635556,свитшот,pdp_view,1,1
135529327,тренажер для учащихся 3 класса,pdp_view,1,1
145858385,удлинитель,pdp_view,3,2
139715179,внешний аккумулятор,pdp_view,11,1
136532909,маленький гений-пресс обучающие карточки,pdp_view,1,1
147054951,самоклеящаяся,pdp_view,1,1
141453176,литература для детского сада,pdp_view,6,1
140963257,масло оливковое,pdp_view,4,2
148346488,секрет легкой жизни как жить без проблем,pdp_view,1,1
146180873,146180873,pdp_view,1,1
145589527,сковорода для индукционной плиты,pdp_view,1,1
139411376,для валяния игла,pdp_view,1,1
27715154,жюль верн,pdp_view,6,3
33028872,планшет samsung galaxy tab,pdp_view,1,1
21759605,кастрюля для индукционных плит,pdp_view,1,1
141699758,каталка детская,pdp_view,5,5
141544351,анна быкова,pdp_view,1,1
143078669,звездный английский,pdp_view,1,1
30395484,petreet,pdp_view,11,10
142813715,merries подгузники,pdp_view,32,29
147375095,фгос,pdp_view,3,1
21441923,белый дракон,pdp_view,1,1
135993616,подушки бамбук,pdp_view,4,1
28765203,посудка,pdp_view,2,2
141461310,инорматика,pdp_view,5,1
143453873,нил гейман сыновья ананси,pdp_view,1,1
140129695,книги,pdp_view,2,2
145913216,кашпо подвесное,pdp_view,3,1
136257755,ложки мерные,pdp_view,4,1
141479787,simba,pdp_view,1,1
25814637,весы кухонные,pdp_view,23,14
29763493,flexi long,pdp_view,1,1
140024095,саймон,pdp_view,1,1
141448681,женщина в песках,pdp_view,11,11
142479270,от прыщей,pdp_view,4,2
142365675,опыты и эксперименты для детей,pdp_view,2,2
147049850,звездный английский 3 класс,pdp_view,9,3
135433556,avent standard,pdp_view,2,2
136425832,тайна мальчика из джунглей,pdp_view,13,11
143418256,подсвечники и канделябры,pdp_view,1,1
142521148,маска карнавальная,pdp_view,2,2
146994482,интерактивная кукла,pdp_view,2,2
30718123,термосы,pdp_view,1,1
138347575,новогодние елочные игрушки,pdp_view,9,5
146932400,виниловые пластинки,pdp_view,9,1
136966500,семена зелени,pdp_view,1,1
31469797,papia dolce vita,pdp_view,2,1
145582975,общая психология,pdp_view,1,1
140723495,schleich,pdp_view,6,6
140404081,luminarc,pdp_view,5,2
135999756,гриль угольный,pdp_view,2,2
16943758,for him,pdp_view,3,1
143064771,яромир,pdp_view,2,2
138585613,светофильтр поляризационный 52,pdp_view,1,1
140941796,faber castell капиллярные ручки,pdp_view,1,1
139176602,кофр 28,pdp_view,1,1
139034835,botanika,pdp_view,3,3
137563430,тасимо,pdp_view,5,3
140183549,проект наука,pdp_view,1,1
147637348,отто шармер,pdp_view,2,2
18034518,omsa velour,pdp_view,3,3
144946064,всероссийская проверочная работа,pdp_view,2,1
137410026,конструктор lego technic роторный экскаватор 42055,pdp_view,2,2
19421407,гостелерадиофонд,pdp_view,9,2
143900938,книга - открытка,pdp_view,2,1
142046484,немецкий язык 1 класс,pdp_view,1,1
142780126,контейнер,pdp_view,1,1
139204293,конфеты,pdp_view,1,1
143028036,для новорожденных,pdp_view,2,1
31458561,достоевский,pdp_view,13,9
140495245,кукла мягкая,pdp_view,3,3
147898163,монета,pdp_view,1,1
141080148,collagen  fit rx,pdp_view,1,1
141530459,молочные каши,pdp_view,5,1
147473565,античная философия,pdp_view,1,1
145293130,тетради,pdp_view,1,1
146812483,рио де жанейро,pdp_view,2,1
6243322,шукшин,pdp_view,1,1
6974080,паустовский,pdp_view,1,1
